Date,Number,Name,Topic,Difficulty,Material,Repetition
17.10.2019,1,Two sums,Hash Table,Easy,HashTable Lookups in O(1),
17.10.2019,7,Reverse Integer,Math,Easy,Push/pop digits,
17.10.2019,9,Reverse Palindrom,Math,Easy,Push/pop digits,
18.10.2019,26,Remove Duplicates from Sorted Array,Array,Easy,Two pointers,!
18.10.2019,27,Remove Element,Array,Easy,Two pointers,!
18.10.2019,35,Search Insert Position,Binary Search,Easy,Binary search,!
19.10.2019,53,Maximum Subarray    ,Dynamic Programming,Easy,"Dynamic Programming, Kadane's algorithm",!
20.10.2019,66,Plus one,Array,Easy,Adding decimal numbers,
24.10.2019,13,Roman to Ineger,Math,Easy,"Traverse from back, add/remove prevChar",
24.10.2019,69,Sqrt(x),Binary Search,Easy,Binary search boundary,!
24.10.2019,371,Sum of 2 Integers,Bit manipulation,Easy,"Carry a & b, sum a ^ b, shift carry <<",!
24.10.2019,206,Reverse Linked List,Linked List,Easy,Recursion,!
24.10.2019,20,Valid Parentheses ,Stack,Easy,Stack operations,
24.10.2019,965,Univalued Binary Tree,Tree,Easy,BFS/DFS/Recursive tree traversal,
12.02.2020,88,Merge Sorted Array,Array,Easy,Two pointers,!
13.02.2020,118,Pascal's Triangle,Array,Easy,ArrayList,
13.02.2020,121,Best Time To Buy and Sell Stock,Array,Easy,Basic DP,
15.02.2020,171,Excel Sheet Column Number,Math,Easy,Basic math,
16.02.2020,172,Factorial Trailing Zeroes,Math,Easy,Trailing zeros n! N/5,!
18.02.2020,374,Guess Number Higher or Lower,Binary Search,Easy,Template 1,
18.02.2020,278,First Bad Version,Binary Search,Easy,Template 2,
18.02.2020,34,Find First and Last Position of Element in Sorted Array,Binary Search,Medium,Template 3,
19.02.2020,704,Binary Search,Binary Search,Easy,Template 1,
19.02.2020,136,Single Number,Bit manipulation,Easy,XOR a ^ 0 = a, a ^ a = 0
19.02.2020,169,Majority Element,Bit manipulation,Easy,Iterating over all 32 bits ,!
20.02.2020,67,Add Binary,String,Easy,StringBuilder,
30.05.2020,344,Reverse String,Recursion ,Easy,Recursion,
31.05.2020,724,Find Pivot Index,Arrays,Easy,Array,
31.05.2020,24,Swap Nodes in Pairs,Recursion ,Medium,Recursion,!
31.05.2020,700,Search in a Binary Tree,Recursion ,Easy,,
01.06.2020,119,Pascal's Triangle II,Recursion ,Easy,Memoization,
01.06.2020,509,Fibonacci Number,Recursion ,Easy,Memoization,
01.06.2020,70,Climbing Stairs,Recursion ,Easy,Memoization,
02.06.2020,237,Delete Node in a Linked List,Linked List,Easy,,
03.06.2020,1029,Two City Scheduling,Greedy,Easy,Java comparator,!
04.06.2020,226,Invert Binary Tree,Binary Tree,Easy,,
05.06.2020,528,Random Pick With Weight,Random,Medium,Binary search,!
06.06.2020,406,Queue Reconstruction by Height,Greedy,Medium,ArrayList. Reliable Step,!
12.06.2020,104,Maximum Depth of Binary Tree,Recursion ,Easy,,
12.06.2020,111,Minimum Depth of Binary Tree,Recursion ,Easy,,!
13.06.2020,50,Pow,Recursion ,Medium,Pow recursive formula,!
13.06.2020,144,Binary Tree Preorder Traversal,Binary Tree,Medium,Pre-order. Recursion with stacks,
13.06.2020,94,Binary Tree Inorder Traversal,Binary Tree,Medium,Recursion with stacks,!
13.06.2020,145,Binary Tree Postorder Traversal,Binary Tree,Hard,2 stacks,!
14.06.2020,102,Binary Tree Level Order Traversal,Binary Tree,Medium,Level order traversal with queue,!
15.06.2020,101,Symmetric Tree,Binary Tree,Easy,Symmetric tree definition,!
15.06.2020,112,Path Sum,Binary Tree,Easy,,!
15.06.2020,100,Same Tree,Binary Tree,Easy,,
15.06.2020,705,Design HashSet,Hash Table,Easy,,
15.06.2020,706,Design HashMap,Hash Table,Easy,,
16.06.2020,217,Contains Duplicate,Hash Table,Easy,,
16.06.2020,349,Intersection of Two Arrays,Hash Table,Easy,,
16.06.2020,202,Happy Number,Hash Table,Easy,,
16.06.2020,205,Isomorphic Strings,Hash Table,Easy,Draw a map of char =>char mapping,!
17.06.2020,599,Minimum Index Sum of Two Lists,Hash Table,Easy,,
17.06.2020,622,Design Circular Queue,Queue,Medium,,
18.06.2020,200,Number of Islands,Queue,Medium,"Grid DFS, BFS",!
18.06.2020,752,Open the lock,Queue,Medium,BFS,
19.06.2020,279,Perfect Squares,Queue,Medium,,
20.06.2020,707,Design Linked List,Linked List,Medium,,
20.06.2020,141,Linked List Cycle,Linked List,Easy,Two pointers,!
20.06.2020,142,Linked List Cycle II,Linked List,Medium,Slow & fast both start at head ,!
24.06.2020,160,Intersection of two Linked Lists,Linked List,Easy,Two pointers,!
27.06.2020,21,Merge Two Sorted Lists,Recursion ,Easy,Recursion,
29.06.2020,779,K-th Symbol in Grammar,Recursion ,Easy,Writing recursive formulas,
30.06.2020,64,Minimum Path Sum,Dynamic Programming,Medium,Use memo correctly,!
01.07.2020,441,Arranging Coins,Math,Easy,Math,
02.07.2020,107,Binary Tree Level Order Traversal II,Binary Tree,Easy,,
02.07.2020,62,Unique Paths,Dynamic Programming,Medium,,
04.07.2020,733,Flood Fill,Graph,Easy,,
08.07.2020,695,Max Area of Island,Graph,Medium,,
08.07.2020,841,Keys and Rooms,Graph,Medium,,
09.07.2020,1254,Number of Closed Islands,Graph,Medium,use the original grid as memo,!
11.07.2020,1034,Coloring A Border,Graph,Medium,,
12.08.2020,95,Unique Binary Search Trees II,Recursion ,Medium,,!
12.08.2020,96,Unique Binary Search Trees,Recursion ,Medium,,!
13.08.2020,155,Min Stack,Stack,Easy,2 Stacks,!
13.08.2020,739,Daily Temperatures,Stack,Medium,https://www.youtube.com/watch?v=uFso48YRRao,!
13.08.2020,150,Evaluate Reverse Polish Notation,Stack,Medium,,
13.08.2020,133,Clone Graph,Stack,Medium,,
16.08.2020,494,Target Sum,Stack,Medium,,!
18.08.2020,542,01 Matrix,Queue,Medium,"(x, y, distance) during BFS",!
19.08.2020,394,Decode String,Stack,Medium,"",
20.08.2020,225,Implement Stack using Queues,Stack,Easy,Cycling shift during push to keep top at head,!
20.08.2020,232,Implement Queue using Stacks,Queue,Easy,,""
20.08.2020,106,Construct Binary Tree from Inorder and Postorder Traversal,Binary Tree,Medium,root from postorder,!
21.08.2020,105,Construct Binary Tree from Preorder and Inorder Traversal,Binary Tree,Medium,,
